Page Name,PageLabelId,Page Label Name,ValueRT,Storefront
All,DR_REGULATORY_ITEMS_INSERTION_ERRORGlobalAll,DR_REGULATORY_ITEMS_INSERTION_ERROR,Unable to Add Regulatory Fee to Cart Items,Global
All,DR_WIRE_TRANSFER_SUBSCRIPTION_CART_WARNING_MSGGlobalAll,DR_WIRE_TRANSFER_SUBSCRIPTION_CART_WARNING_MSG,This payment method is not supported for subscription cart items.,Global
All,DR_SERVER_PAYMENT_ERRORGlobalAll,DR_SERVER_PAYMENT_ERROR,Your payment method was rejected. Please use a new or different payment method.,Global
All,DR_CLIENT_PAYMENT_ERRORGlobalAll,DR_CLIENT_PAYMENT_ERROR,"An internal error has occurred, please &lt;a style=&quot;cursor: pointer;&quot; onclick=&quot;javascript:(function() { location.reload(); })()&quot;&gt;try again&lt;/a&gt;.",Global
All,DR_Empty_DropIN_ErrorGlobalAll,DR_Empty_DropIN_Error,There is a problem initiating payment. Please contact customer support.,Global
All,Order_Confirmation_Wire TransferGlobalAll,Order_Confirmation_Wire Transfer,Wire Transfer,Global
All,Order_Confirmation_payPalGlobalAll,Order_Confirmation_payPal,{1},Global
All,Order_Confirmation_creditCardGlobalAll,Order_Confirmation_creditCard,Credit Card: {1},Global
All,DR_CancelButtonTextGlobalAll,DR_CancelButtonText,Go back and update payment,Global
All,DR_ProceedButtonTextGlobalAll,DR_ProceedButtonText,Continue with this billing address,Global
All,DR_MismatchBillingAddressTextGlobalAll,DR_MismatchBillingAddressText,Your Wallet billing address does not match this payment method. Please choose to proceed with this payment method or go back.,Global
DRRefunds,DR_Refund_Request_FailedGlobalDRRefunds,DR_Refund_Request_Failed,Failed to submit Refund request.,Global
DRRefunds,DR_Refund_Request_Submitted_SuccessfullyGlobalDRRefunds,DR_Refund_Request_Submitted_Successfully,Refund Request submitted successfully.,Global
DRRefunds,DR_Refund_Fetch_Refund_ErrorGlobalDRRefunds,DR_Refund_Fetch_Refund_Error,Unable to fetch the previous refund information for this order.,Global
DRRefunds,DR_NO_Permission_On_Fulfillment_ObjectGlobalDRRefunds,DR_NO_Permission_On_Fulfillment_Object,No permission on digitalriverv2__DR_Fulfillment__c object.,Global
DRRefunds,DR_Fulfillment_Not_CreatedGlobalDRRefunds,DR_Fulfillment_Not_Created,Fulfillment is not yet done for this order.,Global
DRRefunds,DR_No_Previous_Refund_FoundGlobalDRRefunds,DR_No_Previous_Refund_Found,No Previous Refund Information found for this order.,Global
DRRefunds,DR_Refund_No_Order_IdGlobalDRRefunds,DR_Refund_No_Order_Id,Existing Order does not have a DR Order ID.,Global
All,MyWallet_DR_Source_Not_ChargeableGlobalAll,MyWallet_DR_Source_Not_Chargeable,There was a problem to add this Payment Method. Please select another Payment Method.,Global
All,MyWallet_DR_Attach_Source_Customer_FailedGlobalAll,MyWallet_DR_Attach_Source_Customer_Failed,Failed to Add / Update Payment Source on Server,Global
All,MyWallet_DR_DropIn_Intilization_FailedGlobalAll,MyWallet_DR_DropIn_Intilization_Failed,Failed to Intilize available Payment Sources,Global
All,MyWallet_UpdateDRPymtMtdGlobalAll,MyWallet_UpdateDRPymtMtd,Update Digital River Payment Method,Global
All,MyWallet_DR_Redirect_MyWalletGlobalAll,MyWallet_DR_Redirect_MyWallet,You will redirected to your wallet section,Global
All,MyWallet_DR_Successfully_Updated_PaymentGlobalAll,MyWallet_DR_Successfully_Updated_Payment,You Successfully updated a payment .,Global
All,DR_Missing_Phone_NumberGlobalAll,DR_Missing_Phone_Number,Missing phone number.,Global
All,MyWallet_DR_Successfully_Added_PaymentGlobalAll,MyWallet_DR_Successfully_Added_Payment,You Successfully added a new payment in your wallet.,Global
DRConncterConfig,DR_Submit_ButtonGlobalDRConncterConfig,DR_Submit_Button,Submit,Global
DRConncterConfig,DR_Config_GDPR_TabGlobalDRConncterConfig,DR_Config_GDPR_Tab,GDPR CONFIG,Global
All,MyWallet_AddDRPymtMtdGlobalAll,MyWallet_AddDRPymtMtd,Add New Digital River Payment Method,Global
DRConncterConfig,DR_Config_Failure_Save_Config_MsgGlobalDRConncterConfig,DR_Config_Failure_Save_Config_Msg,Unable to save DB Connector Configuration,Global
DRConncterConfig,DR_Config_Success_Save_Config_MsgGlobalDRConncterConfig,DR_Config_Success_Save_Config_Msg,Configuration update request has been submitted. You will receive an email after the job is completed.,Global
DRConncterConfig,DR_Config_Failure_Connection_MsgGlobalDRConncterConfig,DR_Config_Failure_Connection_Msg,Failure: Could not Connect to Digital River.,Global
DRConncterConfig,DR_Config_Successful_Connection_MsgGlobalDRConncterConfig,DR_Config_Successful_Connection_Msg,Success: Successful Connection to Digital River.,Global
All,PaymentType_drGlobalAll,PaymentType_dr,Payment DR,Global
DRConncterConfig,DR_Config_Product_Sync_TabGlobalDRConncterConfig,DR_Config_Product_Sync_Tab,Product Sync,Global
DRConncterConfig,DR_Config_FulFillment_Config_TabGlobalDRConncterConfig,DR_Config_FulFillment_Config_Tab,FullFillment Config,Global
DRConncterConfig,DR_Config_Save_ButtonGlobalDRConncterConfig,DR_Config_Save_Button,Save,Global
DRConncterConfig,DR_Config_Test_DR_Connection_ButtonGlobalDRConncterConfig,DR_Config_Test_DR_Connection_Button,Test DR Connection,Global
DRConncterConfig,DR_Config_Sync_All_ButtonGlobalDRConncterConfig,DR_Config_Sync_All_Button,Sync All,Global
All,DR_error_message_for_paymentsGlobalAll,DR_error_message_for_payments,Failed to get source Id.,Global
All,Upload_Your_CertificateGlobalAll,Upload_Your_Certificate,Upload Your Certificate : *,Global
All,Tax_ID/VAT_NumberGlobalAll,Tax_ID/VAT_Number,Tax ID/VAT Number,Global
All,Tax_Exempt_StatusGlobalAll,Tax_Exempt_Status,Tax Exempt Status,Global
All,Tax_Exempt_AppliedGlobalAll,Tax_Exempt_Applied,Tax Exemption has been applied on this Cart,Global
All,Tax_Exemption_Not_AppliedGlobalAll,Tax_Exemption_Not_Applied,Tax Exemption is not applied on this Cart.,Global
All,Tax_Exemption_AppliedGlobalAll,Tax_Exemption_Applied,Tax Exemption has been applied on this Cart.,Global
All,taxAuthorityErrormessageGlobalAll,taxAuthorityErrormessage,Tax Authority is Required,Global
All,TaxAuthorityGlobalAll,TaxAuthority,Tax Authority,Global
All,Support_File_Type_ListGlobalAll,Support_File_Type_List,"pdf&#39;, &#39;PDF&#39;, &#39;JPG&#39;, &#39;jpg&#39;, &#39;GIF&#39;, &#39;gif&#39;",Global
All,Support_File_TypeGlobalAll,Support_File_Type,"Supported file types : pdf, jpg, gif",Global
All,Supported_File_ErrorGlobalAll,Supported_File_Error,"Supported file types : pdf, jpg, gif.",Global
All,Supported_FileGlobalAll,Supported_File,"Max File Size Less then 1 MB (Supported File Types: GIF, JPG, PDF)",Global
All,Submit_Your_Tax_ExemptionGlobalAll,Submit_Your_Tax_Exemption,Please Submit Your Tax Exemption Details,Global
All,Start_Date_Past_ValidationGlobalAll,Start_Date_Past_Validation,Start Date Cannot be Future Date,Global
All,Start_Date_End_Date_ValidationGlobalAll,Start_Date_End_Date_Validation,End Date cannot be less than Start Date,Global
All,Start_DateGlobalAll,Start_Date,Start Date,Global
All,startDateErrormessageGlobalAll,startDateErrormessage,Start Date is Required,Global
All,selectFileErrormessageGlobalAll,selectFileErrormessage,Please select a file to upload.,Global
All,Salesforce_IDGlobalAll,Salesforce_ID,Salesforce_ID,Global
All,PaymentDisplay_drGlobalAll,PaymentDisplay_dr,{3} : {1},Global
All,Order_AcctType_paypalGlobalAll,Order_AcctType_paypal,paypal,Global
All,Order_AcctNum_paypalGlobalAll,Order_AcctNum_paypal,paypal: {1},Global
All,No_Tax_Record_foundGlobalAll,No_Tax_Record_found,No Tax Certificate on file. Please use the below form to upload a new certificate,Global
All,DR_Tax_Certificate_File_Name_HeaderGlobalAll,DR_Tax_Certificate_File_Name_Header,Name,Global
All,My_Tax_CertificatesGlobalAll,My_Tax_Certificates,My Tax Certificates,Global
All,DR_CARD_NAME_REQUIREDGlobalAll,DR_CARD_NAME_REQUIRED,Card Name Required for Saved Payment.,Global
All,DR_API_KEY_ERRORGlobalAll,DR_API_KEY_ERROR,Unable to get api key from server.,Global
All,DR_Address_Missing_Error_MessageGlobalAll,DR_Address_Missing_Error_Message,Default billing address is not set.,Global
All,Display_Certificate_Link_CCGlobalAll,Display_Certificate_Link_CC,Click here If you are making a tax exempt purchase,Global
All,Country_NameGlobalAll,Country_Name,Country Name : *,Global
All,Company_Name_RequiredGlobalAll,Company_Name_Required,Company Name Required,Global
All,Company_Name_LimitGlobalAll,Company_Name_Limit,Company Name Less then 70 Character.,Global
All,Company_NameGlobalAll,Company_Name,Company Name : *,Global
All,companyNameErrorMessageGlobalAll,companyNameErrorMessage,Company Name is Required,Global
All,DR_Tax_Certificate_Company_HeaderGlobalAll,DR_Tax_Certificate_Company_Header,Company,Global
All,Certificate_Tax_Authority_RequiredGlobalAll,Certificate_Tax_Authority_Required,Exemption Certificate Tax Authority Required,Global
DRConncterConfig,DR_Config_Genreral_Config_TabGlobalDRConncterConfig,DR_Config_Genreral_Config_Tab,GENERAL CONFIG,Global
